feature,family,literature_anchor,source_columns,goal,formula,mean_benign_train,mean_malignant_train,std_diff_train,abs_std_diff_train,skew_train,outlier_rate_pct_train,max_abs_corr_with_base_train,feature_std_train,novelty_score,screen_pass_v2,screen_reason_v2
feat_symmetry_to_xyz_radius,spatial,SLICE-3D spatial proxy,"tbp_lv_symm_2axis, tbp_lv_x, tbp_lv_y, tbp_lv_z",비대칭성을 3D 위치 반경으로 보정,symm_2axis / xyz_radius,0.000358,0.000315,-0.162282,0.162282,2.391643,9.367721,0.735198,0.000284,0.042973,True,pass
feat_color_variation_total,color,CASH homogeneity,"tbp_lv_color_std_mean, tbp_lv_radial_color_std_max, tbp_lv_stdL, tbp_lv_stdLExt",색과 명도의 이질성을 한 축으로 합산,color_std_mean + radial_color_std_max + stdL + stdLExt,7.023145,9.527265,0.59135,0.59135,1.392694,3.309968,0.928616,3.123746,0.042213,True,pass
feat_age_area_interaction,context,Age-context proxy,"age_approx, tbp_lv_areaMM2",연령과 병변 면적을 함께 반영,age_approx * areaMM2,482.137134,1418.794442,0.711967,0.711967,6.579871,8.996379,0.952079,578.744542,0.034118,True,pass
feat_abcd_proxy_raw,architecture,ABCD proxy,"tbp_lv_symm_2axis, tbp_lv_norm_border, tbp_lv_norm_color, tbp_lv_deltaL, tbp_lv_deltaA, tbp_lv_deltaB",ABCD 점수 축을 현재 메타데이터로 근사,1.3*symm_2axis + 0.1*norm_border + 0.5*norm_color + 0.5*contrast_euclidean,7.628197,9.313385,0.516957,0.516957,1.158735,2.848735,0.935509,2.633027,0.033339,True,pass
feat_long_to_minor_ratio,geometry,ABCD diameter / geometry,"clin_size_long_diam_mm, tbp_lv_minorAxisMM",장축 대비 단축 비율,long_diam / minorAxisMM,1.612362,1.533845,-0.208185,0.208185,1.129145,2.442435,0.842312,0.395361,0.032828,True,pass
feat_red_green_normalized_gap,color,ABCD color,"tbp_lv_A, tbp_lv_Aext",A축(적-녹) 차이를 안정적인 정규화 비율로 표현,(A-Aext) / (|A|+|Aext|),0.14832,0.125802,-0.276852,0.276852,0.918202,2.804502,0.888363,0.073291,0.030907,True,pass
feat_area_eccentricity_coupling,geometry,Size x eccentricity,"tbp_lv_areaMM2, tbp_lv_eccentricity",큰 병변이면서 길쭉한 형태를 함께 반영,areaMM2 * eccentricity,6.163506,16.149328,0.662297,0.662297,6.312781,9.419801,0.965022,7.181008,0.023166,True,pass
feat_age_symmetry_interaction,context,Age-context proxy,"age_approx, tbp_lv_symm_2axis",연령과 비대칭성을 함께 반영,age_approx * symm_2axis,17.779396,19.375661,0.168041,0.168041,0.966714,1.952664,0.885271,8.972967,0.019279,True,pass
feat_blue_yellow_normalized_gap,color,ABCD color,"tbp_lv_B, tbp_lv_Bext",B축(청-황) 차이를 안정적인 정규화 비율로 표현,(B-Bext) / (|B|+|Bext|),0.023487,-0.033511,-0.807109,0.807109,-1.240626,3.429468,0.976724,0.041179,0.018786,True,pass
feat_lightness_normalized_gap,color,ABCD color,"tbp_lv_L, tbp_lv_Lext",명도 차이를 크기 보정된 비율로 표현,(L-Lext) / (L+Lext),-0.098101,-0.123466,-0.388441,0.388441,-1.587519,3.771202,0.953587,0.037978,0.018029,True,pass
feat_area_to_long_sq,geometry,Diameter-normalized size,"tbp_lv_areaMM2, clin_size_long_diam_mm",면적을 장축 제곱으로 보정,areaMM2 / long_diam^2,0.497575,0.517103,0.149075,0.149075,0.16152,0.02711,0.8899,0.128676,0.016413,True,pass
feat_nevi_contrast_interaction,context,Nevus-confidence context,"tbp_lv_nevi_confidence, tbp_lv_deltaL, tbp_lv_deltaA, tbp_lv_deltaB",모반 신뢰도와 색차 강도를 결합,nevi_confidence * contrast_euclidean,513.250251,349.443414,-0.266536,0.266536,0.917639,0.124494,0.9475,619.40731,0.013993,True,pass
feat_minor_to_long_ratio,geometry,ABCD diameter / geometry,"clin_size_long_diam_mm, tbp_lv_minorAxisMM",단축 대비 장축 비율,minorAxisMM / long_diam,0.653656,0.683281,0.210666,0.210666,-0.034847,0.003567,0.933959,0.142071,0.013913,True,pass
feat_color_contrast_ab,color,ABCD color,"tbp_lv_deltaA, tbp_lv_deltaB",색채축(A/B) 차이만 별도로 요약,sqrt(deltaA^2 + deltaB^2),5.696413,6.358713,0.24695,0.24695,1.813876,2.449926,0.949581,2.608108,0.012451,True,pass
feat_color_contrast_euclidean,color,ABCD color / DermNet multi-color,"tbp_lv_deltaL, tbp_lv_deltaA, tbp_lv_deltaB",병변 내부-외부 색차를 하나의 강도 축으로 요약,sqrt(deltaL^2 + deltaA^2 + deltaB^2),10.691178,12.344607,0.36824,0.36824,1.281803,2.716036,0.967601,4.055644,0.011931,True,pass
feat_color_internal_external_gap,color,ABCD color contrast,"tbp_lv_A, tbp_lv_Aext, tbp_lv_B, tbp_lv_Bext, tbp_lv_L, tbp_lv_Lext",내부-외부 색/명도 차이를 직접 반영,sqrt((A-Aext)^2 + (B-Bext)^2 + (L-Lext)^2),10.691178,12.344607,0.36824,0.36824,1.281803,2.716036,0.967601,4.055644,0.011931,True,pass
feat_internal_external_std_ratio,color,DermNet heterogeneity,"tbp_lv_stdL, tbp_lv_stdLExt",내부/외부 밝기 변동성 비율,stdL / stdLExt,1.286753,1.424617,0.131211,0.131211,1.78854,5.228031,0.917828,0.901636,0.010782,True,pass
feat_area_to_perimeter_sq,geometry,Compactness / circularity,"tbp_lv_areaMM2, tbp_lv_perimeterMM",면적을 둘레 제곱으로 보정한 compactness proxy,areaMM2 / perimeterMM^2,0.0556,0.053184,-0.178951,0.178951,-0.556677,0.240427,0.946023,0.011843,0.009659,True,pass
feat_compactness_eccentricity,geometry,Compactness x eccentricity,"tbp_lv_perimeterMM, tbp_lv_areaMM2, tbp_lv_eccentricity",비원형성과 길쭉함을 함께 강조,(perimeterMM^2 / areaMM2) * eccentricity,14.429324,14.976434,0.08841,0.08841,1.236203,3.246473,0.90121,5.81247,0.008734,True,pass
feat_area_perim_border_coupling,geometry,Border x compactness,"tbp_lv_area_perim_ratio, tbp_lv_norm_border",기존 compactness와 경계 불규칙성을 함께 반영,area_perim_ratio * norm_border,74.17591,89.100644,0.209491,0.209491,2.498992,6.976296,0.972513,64.842744,0.005758,True,pass
feat_symmetry_border_interaction,architecture,ABCD asymmetry x border,"tbp_lv_symm_2axis, tbp_lv_norm_border",비대칭성과 경계 불규칙성을 함께 반영,symm_2axis * norm_border,1.254529,1.39273,0.114164,0.114164,1.948282,6.121605,0.965396,1.164583,0.003951,True,pass
feat_border_eccentricity_coupling,geometry,Border x eccentricity,"tbp_lv_norm_border, tbp_lv_eccentricity",경계 불규칙성과 길쭉함을 함께 반영,norm_border * eccentricity,2.655122,2.79186,0.08338,0.08338,1.12657,2.596536,0.954897,1.595151,0.003761,True,pass
feat_area_perim_symmetry_coupling,geometry,Asymmetry x compactness,"tbp_lv_area_perim_ratio, tbp_lv_symm_2axis",기존 compactness와 비대칭성을 함께 반영,area_perim_ratio * symm_2axis,6.315929,6.848767,0.115739,0.115739,2.072448,5.541941,0.977689,4.424274,0.002582,True,pass
feat_xyz_radius,spatial,SLICE-3D spatial proxy,"tbp_lv_x, tbp_lv_y, tbp_lv_z",3D 좌표계 원점 기준 거리,sqrt(x^2 + y^2 + z^2),1073.033092,1194.274963,0.313759,0.313759,-0.700075,0.0,0.991788,379.173281,0.002577,True,pass
feat_xy_radius,spatial,SLICE-3D spatial proxy,"tbp_lv_x, tbp_lv_y",x-y 평면 반경,sqrt(x^2 + y^2),1067.189803,1189.39364,0.314411,0.314411,-0.70647,0.0,0.991842,381.473812,0.002565,True,pass
feat_deltaLB_to_stdL,color,DermNet heterogeneity,"tbp_lv_deltaLB, tbp_lv_stdL",내부-외부 명도 차이를 내부 밝기 변동으로 보정,deltaLB / stdL,4.11971,4.041378,-0.048762,0.048762,1.068118,2.040416,0.723703,1.36484,0.013473,False,drop_low_signal
feat_ellipse_fill_ratio,geometry,Ellipse filling proxy,"tbp_lv_areaMM2, clin_size_long_diam_mm, tbp_lv_minorAxisMM",장축*단축 대비 실제 면적 비율,areaMM2 / (long_diam * minorAxisMM),0.758047,0.754718,-0.035277,0.035277,-0.679426,2.398916,0.808904,0.079918,0.006741,False,drop_low_signal
feat_size_shape_proxy,geometry,Size-shape complexity,"clin_size_long_diam_mm, tbp_lv_perimeterMM, tbp_lv_areaMM2",크기와 경계 길이를 면적으로 보정,long_diam * perimeterMM / areaMM2,6.385337,6.499433,0.065714,0.065714,1.350582,3.121622,0.903036,1.647369,0.006372,False,drop_low_signal
feat_nevi_color_interaction,context,Nevus-confidence context,"tbp_lv_nevi_confidence, tbp_lv_norm_color",모반 신뢰도와 색 불균일을 결합,nevi_confidence * norm_color,153.409569,144.18959,-0.040042,0.040042,1.444605,2.722457,0.853371,204.222524,0.005871,False,drop_low_signal
feat_radial_to_global_color_ratio,architecture,CASH homogeneity,"tbp_lv_radial_color_std_max, tbp_lv_color_std_mean",중심-주변 색 변동이 전체 색 분산보다 큰지 확인,radial_color_std_max / color_std_mean,1.427123,0.801482,-0.004164,0.004164,464.592069,9.396971,0.003938,212.400082,0.004148,False,drop_low_signal
feat_homogeneity_inverse,architecture,CASH homogeneity,"tbp_lv_color_std_mean, tbp_lv_radial_color_std_max",색 분산이 낮을수록 큰 값이 되도록 반전,1 / (1 + color_std_mean + radial_color_std_max),0.403625,0.397072,-0.023716,0.023716,1.537485,8.132413,0.830727,0.208714,0.004014,False,drop_low_signal
feat_perimeter_to_minor_ratio,geometry,Border length / short axis,"tbp_lv_perimeterMM, tbp_lv_minorAxisMM",둘레가 단축 대비 얼마나 큰지 확인,perimeterMM / minorAxisMM,4.74454,4.756222,0.013612,0.013612,1.105447,2.365741,0.790966,0.864888,0.002845,False,drop_low_signal
feat_deltaLBnorm_to_stdLExt,color,DermNet heterogeneity,"tbp_lv_deltaLBnorm, tbp_lv_stdLExt",정규화된 명도 차이를 외부 밝기 변동으로 보정,deltaLBnorm / stdLExt,3.589515,3.568535,-0.011377,0.011377,1.361066,3.415556,0.765612,1.455973,0.002667,False,drop_low_signal
feat_symmetry_eccentricity_coupling,geometry,Asymmetry x eccentricity,"tbp_lv_symm_2axis, tbp_lv_eccentricity",비대칭성과 길쭉함을 함께 반영,symm_2axis * eccentricity,0.23363,0.230082,-0.029032,0.029032,0.817409,1.163965,0.935018,0.118202,0.001887,False,drop_low_signal
feat_internal_external_std_balance,color,DermNet heterogeneity,"tbp_lv_stdL, tbp_lv_stdLExt",내부/외부 밝기 변동 차이를 균형형 비율로 표현,(stdL-stdLExt) / (stdL+stdLExt),0.020274,0.01583,-0.013492,0.013492,0.193612,0.0,0.864293,0.290276,0.001831,False,drop_low_signal
feat_yz_radius,spatial,SLICE-3D spatial proxy,"tbp_lv_y, tbp_lv_z",y-z 평면 반경,sqrt(y^2 + z^2),1046.074184,1172.442099,0.306888,0.306888,-0.793793,0.0,0.995382,402.112624,0.001417,False,drop_high_base_overlap_or_zero_variance
feat_structure_dispersion_proxy,architecture,CASH architecture-homogeneity,"tbp_lv_norm_color, tbp_lv_color_std_mean, tbp_lv_radial_color_std_max",구조와 색 분산 축을 함께 합산,norm_color + color_std_mean + radial_color_std_max,5.158207,8.100731,0.587695,0.587695,1.130227,3.733747,0.997619,3.484988,0.001399,False,drop_high_base_overlap_or_zero_variance
feat_abs_y,spatial,SLICE-3D spatial proxy,tbp_lv_y,세로 방향 절대 위치,|y|,1039.349348,1166.949374,0.307069,0.307069,-0.811076,0.0,0.995568,406.155675,0.001361,False,drop_high_base_overlap_or_zero_variance
feat_perimeter_area_balance,geometry,Perimeter-area balance,"tbp_lv_perimeterMM, tbp_lv_areaMM2",둘레가 면적 제곱근 대비 얼마나 큰지 확인,perimeterMM / sqrt(areaMM2),4.330187,4.48471,0.240807,0.240807,1.524631,4.129345,0.99574,0.560778,0.001026,False,drop_high_base_overlap_or_zero_variance
feat_perimeter_sq_to_area,geometry,Compactness / circularity,"tbp_lv_areaMM2, tbp_lv_perimeterMM",둘레 제곱 대비 면적 비율,perimeterMM^2 / areaMM2,19.064786,20.620004,0.252526,0.252526,1.993383,5.426365,1.0,5.358999,0.000253,False,drop_high_base_overlap_or_zero_variance
feat_color_internal_magnitude,color,DermNet color richness,"tbp_lv_A, tbp_lv_B, tbp_lv_C",병변 내부 색 강도를 하나의 벡터 크기로 요약,sqrt(A^2 + B^2 + C^2),49.268876,47.252962,-0.216282,0.216282,0.077539,1.174309,1.0,8.071138,0.000216,False,drop_high_base_overlap_or_zero_variance
feat_color_external_magnitude,color,DermNet background context,"tbp_lv_Aext, tbp_lv_Bext, tbp_lv_Cext",병변 외부 배경의 색 강도를 하나의 벡터 크기로 요약,sqrt(Aext^2 + Bext^2 + Cext^2),43.762553,44.072766,0.04331,0.04331,0.211301,1.111527,1.0,6.872518,4.3e-05,False,drop_low_signal
